Date,Open,High,Low,Close,Volume
2010-01-04,221.67,223.49,221.66,223.49,85967000
2010-01-05,224.24,224.4,222.18,222.84,153282000
2010-01-06,223.83,224.96,223.52,224.67,170500000
2010-01-07,224.23,224.77,221.31,221.31,183416000
2010-01-08,222.65,222.81,219.15,222.66,157255000
2010-01-11,223.31,224.18,222.23,222.23,155386000
2010-01-12,222.5,223.39,220.86,223.04,121230000
2010-01-13,220.82,221.46,219.01,219.17,116028000
2010-01-14,220.39,222.24,219.88,221.19,134055000
2010-01-15,222.33,223.69,221.12,223.21,156994000
2010-01-18,222.26,225.19,221.21,224.38,156023000
2010-01-19,225.44,226.1,223.55,224.13,129306000
2010-01-20,225.87,225.97,223.88,224.83,171766000
2010-01-21,223.03,226.16,222.41,226.16,127291000
2010-01-22,222.59,223.9,218.22,220.68,154754000
2010-01-25,217.72,220.65,217.37,219.33,125942000
2010-01-26,219.09,219.41,213.52,214.89,130220000
2010-01-27,215.38,215.63,212.51,213.02,119972000
2010-01-28,213.94,216.65,212.53,215.67,115837000
2010-01-29,212.77,213.63,209.4,210.34,113866000
2010-02-01,210.53,211.68,208.77,210.76,104366000
2010-02-02,212.36,212.36,208.55,209.27,116330000
2010-02-03,211.76,212.45,209.99,211.86,92510000
2010-02-04,211.82,212.44,210.71,211.72,89449000
2010-02-05,205.48,206.39,204.31,205.06,105386000
2010-02-08,204.6,204.87,202.69,203.37,85550000
2010-02-09,203.17,206.25,202.93,206.01,100275000
2010-02-10,206.98,207.41,205.23,205.94,91857000
2010-02-11,206.55,210.17,206.45,209.73,98644000
2010-02-12,209.35,209.59,206.56,208.74,87273000
2010-02-16,208.21,210.84,207.77,209.73,72252000
2010-02-17,212.24,213.56,212.09,213.44,96338000
2010-02-18,213.81,213.98,212.11,212.55,79515000
2010-02-19,211.12,212.85,208.56,208.7,81624000
2010-02-22,211.92,213.97,211.92,213.28,79147000
2010-02-23,213.29,213.68,211.61,213.45,78090000
2010-02-24,211.69,211.93,210.11,210.92,82852000
2010-02-25,211.86,212.16,206.85,207.56,78858000
2010-02-26,208.53,208.86,206.69,208.36,62066000
2010-03-02,210.99,212.15,210.58,211.44,89620000
2010-03-03,211.42,212.4,210.81,212.36,69141000
2010-03-04,212.75,213.66,211.12,211.91,71063000
2010-03-05,212.87,214.09,212.79,214.05,75189000
2010-03-08,216.79,217.87,216.31,217.73,110528000
2010-03-09,217.4,217.89,216.74,217.82,88554000
2010-03-10,217.9,218.07,216.63,217.82,96014000
2010-03-11,218.98,219.29,216.65,216.76,144915000
2010-03-12,218.11,218.17,216.14,217.35,92658000
2010-03-15,217.53,218.15,214.63,215.49,81529200
2010-03-16,216.15,216.26,214.5,215.25,129470000
2010-03-17,217.39,220.28,216.83,220.28,117942000
2010-03-18,219.69,220.88,219.02,219.02,109220000
2010-03-19,220.05,220.77,219.32,220.48,104883000
2010-03-22,219.31,219.73,217.35,218.52,99570000
2010-03-23,220.27,220.95,219.44,220.09,94764000
2010-03-24,221.71,222.03,219.73,220.09,95381000
2010-03-25,220.11,221.13,219.58,221.07,147419000
2010-03-26,220.35,222.63,219.83,222.25,96488000
2010-03-29,220.11,222.55,220.03,221.6,100815000
2010-03-30,223.45,223.5,221.63,222.48,102486000
2010-03-31,222.76,223.2,221.06,221.58,111845000
2010-04-01,221.98,225.58,221.98,225.47,111807000
2010-04-02,226.03,226.78,225.28,226.69,125157000
2010-04-05,227.37,228.02,225.61,227.48,113489000
2010-04-06,228.62,228.64,226.49,227.51,91862000
2010-04-07,227.33,227.82,226.62,227.31,109790000
2010-04-08,226.66,228.27,226.22,228.27,84630000
2010-04-09,228.34,228.76,224.82,226.81,164943000
2010-04-12,227.56,227.94,224.14,224.59,111511000
2010-04-13,225.21,225.48,222.93,224.69,83805000
2010-04-14,226.01,228.08,226.01,228.08,109970000
2010-04-15,229.52,229.84,227.13,229.17,136429000
2010-04-16,228.83,229.11,226.21,227.69,93003000
2010-04-19,224.17,225.76,223.04,223.65,89081000
2010-04-20,224.98,225.69,224.15,225.13,86755000
2010-04-21,226.82,229.24,226.72,229.09,110513000
2010-04-22,227.6,228.02,226.19,227.76,99465000
2010-04-23,228.99,229.08,226.66,227.36,93337000
2010-04-26,228.5,230.54,228.47,229.64,91555000
2010-04-27,229.06,230.1,228.16,229.28,97141000
2010-04-28,224.81,226.98,224.61,226.98,119430000
2010-04-29,227.58,227.58,224.98,226.11,122786000
2010-04-30,227.94,229.14,227.59,227.95,113667000
2010-05-03,227.04,227.72,223.67,225.1,109194000
2010-05-04,226.29,227.0,224.22,224.76,122125000
2010-05-06,219.56,220.76,218.72,220.21,130888000
2010-05-07,213.33,216.59,212.41,215.09,153082000
2010-05-10,216.86,219.53,215.88,219.1,108117000
2010-05-11,220.94,221.0,216.63,217.63,125763000
2010-05-12,218.86,219.26,215.98,216.78,111637000
2010-05-13,219.55,221.68,219.34,220.8,113397000
2010-05-14,219.58,221.69,218.45,221.08,131874000
2010-05-17,217.34,217.9,214.27,215.36,137856000
2010-05-18,216.68,216.8,212.57,214.42,128232000
2010-05-19,211.26,212.54,208.83,212.43,124031000
2010-05-20,211.55,213.85,207.71,208.78,114720000
2010-05-24,207.5,211.36,207.46,210.27,90578000
2010-05-25,207.58,207.79,201.5,204.83,136733000
2010-05-26,206.95,207.51,203.21,206.62,121650000
2010-05-27,204.54,210.49,204.52,209.83,124156000
2010-05-28,212.93,212.93,209.93,212.1,109309000
2010-05-31,212.43,214.34,211.81,214.34,84114000
2010-06-01,213.3,214.46,211.89,213.02,92202000
2010-06-03,214.84,217.95,214.51,217.58,108445000
2010-06-04,217.37,218.79,217.03,218.03,104687000
2010-06-07,213.55,214.57,211.95,214.38,99345000
2010-06-08,213.84,216.8,213.21,216.08,96523000
2010-06-09,216.15,216.56,213.81,215.26,102850000
2010-06-10,215.82,217.23,214.64,215.73,110672000
2010-06-11,218.85,219.87,217.3,219.22,100488000
2010-06-14,220.22,222.54,219.99,221.43,94218000
2010-06-15,220.94,222.32,220.4,221.34,98889000
2010-06-16,223.81,224.18,221.96,223.34,116463000
2010-06-17,223.54,224.08,222.49,223.45,117140000
2010-06-18,223.75,224.04,222.41,223.77,92449000
2010-06-21,226.07,227.99,225.51,227.69,112671000
2010-06-22,226.12,226.9,225.36,226.45,100595000
2010-06-23,225.08,226.41,224.92,225.59,87380000
2010-06-24,225.33,227.45,224.89,227.45,76828000
2010-06-25,224.87,226.15,224.44,225.63,85049000
2010-06-28,226.17,226.35,225.01,225.55,79218000
2010-06-29,225.94,226.72,221.94,222.54,93043000
2010-06-30,218.7,221.09,218.24,220.85,96490000
2010-07-01,219.26,220.23,216.26,218.65,101875000
2010-07-02,219.13,219.87,216.43,217.01,119547000
2010-07-05,217.43,218.29,215.96,217.47,80892000
2010-07-06,215.93,219.16,214.04,219.12,95559000
2010-07-07,219.09,219.09,216.39,217.45,82396000
2010-07-08,220.66,221.29,219.86,220.78,92731000
2010-07-09,222.07,224.44,220.63,224.44,115513000
2010-07-12,225.51,225.87,224.58,225.86,91482000
2010-07-13,226.32,228.19,225.74,226.14,116320000
2010-07-14,228.79,230.23,228.69,229.27,168943000
2010-07-15,228.75,229.44,228.02,228.39,118087000
2010-07-16,228.28,228.83,226.06,226.34,130720000
2010-07-19,223.64,226.23,223.51,225.32,100160000
2010-07-20,224.47,226.47,224.08,225.84,96175000
2010-07-21,228.16,228.65,226.67,227.88,117495000
2010-07-22,227.33,228.46,225.9,226.23,138109000
2010-07-23,229.05,229.88,227.66,229.5,134522000
2010-07-26,229.7,231.64,229.48,230.87,105738000
2010-07-27,231.66,232.14,230.46,230.93,123421000
2010-07-28,231.7,232.06,230.39,231.56,101964000
2010-07-29,231.01,231.86,230.63,231.16,101507000
2010-07-30,230.7,231.69,228.71,229.25,86652000
2010-08-02,230.82,232.63,230.26,232.22,103628000
2010-08-03,234.1,234.2,232.64,233.38,105885000
2010-08-04,234.08,234.08,231.23,233.14,120556000
2010-08-05,234.13,234.29,231.03,232.39,111118000
2010-08-06,232.14,232.68,230.4,232.35,109756000
2010-08-09,231.59,233.23,231.21,233.14,91589000
2010-08-10,233.42,233.84,231.8,232.04,95270000
2010-08-11,231.15,231.3,228.5,228.98,109907000
2010-08-12,225.42,226.8,223.96,223.96,108631000
2010-08-13,225.12,227.28,224.23,227.01,93229000
2010-08-16,225.32,226.9,222.8,226.51,94172000
2010-08-17,225.45,228.34,224.95,227.96,87284000
2010-08-18,229.14,229.23,227.72,228.9,98507000
2010-08-19,229.2,232.09,229.01,231.88,95225000
2010-08-20,230.41,231.44,229.74,231.17,83349000
2010-08-23,231.51,231.63,230.02,230.2,98261000
2010-08-24,228.6,230.92,227.65,229.42,91425000
2010-08-25,227.49,228.47,225.98,225.99,91885000
2010-08-26,227.2,227.38,225.39,225.39,96279000
2010-08-27,224.63,226.04,223.91,225.52,79512000
2010-08-30,228.17,229.72,227.77,229.63,78131000
2010-08-31,227.88,228.61,226.15,226.81,92864000
2010-09-01,228.0,229.97,227.3,229.41,109333000
2010-09-02,232.03,232.06,229.57,230.66,97587000
2010-09-03,231.26,232.01,230.26,231.04,111253000
2010-09-06,232.6,233.04,231.73,232.77,105588000
2010-09-07,232.78,233.44,232.23,232.45,83865000
2010-09-08,231.31,232.06,229.89,230.94,101665000
2010-09-09,231.93,232.56,230.25,231.53,103676000
2010-09-10,232.68,234.95,232.55,233.93,101614000
2010-09-13,235.23,236.56,234.83,236.34,121242000
2010-09-14,237.19,237.65,235.43,235.98,127090000
2010-09-15,236.21,237.62,235.7,237.14,118676000
2010-09-16,236.82,237.15,235.36,235.37,102243000
2010-09-17,237.04,237.92,235.47,237.64,119988000
2010-09-20,236.71,238.55,236.21,238.29,78952000
2010-09-24,237.78,239.8,237.04,239.8,99529000
2010-09-27,240.99,241.55,240.26,241.38,130772000
2010-09-28,241.16,241.73,240.31,240.59,100918000
2010-09-29,241.94,243.32,241.88,242.27,129962000
2010-09-30,242.67,243.02,241.37,242.95,116917000
2010-10-01,242.87,244.44,242.38,243.49,121037000
2010-10-04,244.47,245.28,243.46,243.99,122909000
2010-10-05,243.22,244.74,242.59,244.22,107926000
2010-10-06,246.53,248.01,246.11,247.7,137813000
2010-10-07,247.17,247.91,246.21,247.22,148595000
2010-10-08,247.16,247.19,245.37,246.51,128185000
2010-10-11,247.99,248.05,244.79,245.44,116397000
2010-10-12,245.76,245.95,241.2,242.35,110717000
2010-10-13,243.63,244.01,241.73,242.99,103723000
2010-10-14,244.38,246.25,244.02,246.25,147799000
2010-10-15,246.03,246.68,245.31,246.56,128053000
2010-10-18,246.81,246.93,242.64,242.64,112933000
2010-10-19,242.96,243.81,240.11,240.11,113412000
2010-10-20,238.41,242.64,237.25,241.79,118751000
2010-10-21,242.71,242.84,239.99,242.53,157193000
2010-10-22,243.58,245.86,243.31,245.84,113488000
2010-10-25,246.52,248.74,245.91,248.16,130325000
2010-10-26,247.7,248.5,247.07,248.38,121671000
2010-10-27,248.22,248.92,245.68,246.61,155434000
2010-10-28,246.53,247.46,245.72,246.41,124902000
2010-10-29,247.19,247.27,242.14,242.98,123479000
2010-11-01,243.92,247.41,242.68,247.41,117692000
2010-11-02,247.02,248.32,246.54,247.93,117430000
2010-11-03,249.62,251.33,249.28,249.99,119310000
2010-11-04,250.73,251.51,250.17,251.12,110111000
2010-11-05,253.85,254.82,251.14,251.22,153754000
2010-11-08,252.32,252.7,250.01,251.73,115566000
2010-11-09,251.81,252.3,250.56,252.07,101965000
2010-11-10,251.87,255.14,251.79,255.13,156525000
2010-11-11,254.86,256.51,247.51,247.51,174612000
2010-11-12,252.78,254.02,246.62,248.35,175489000
2010-11-15,249.34,250.56,247.47,249.22,107192000
2010-11-16,248.96,249.65,246.4,247.84,140888000
