Date,Open,High,Low,Close,Volume
2010-01-04,1681.71,1696.14,1681.71,1696.14,295646000
2010-01-05,1701.62,1702.39,1686.45,1690.62,407629000
2010-01-06,1697.88,1706.89,1696.1,1705.32,425407000
2010-01-07,1702.92,1707.9,1683.45,1683.45,461562000
2010-01-08,1694.06,1695.26,1668.84,1695.26,379138000
2010-01-11,1700.79,1705.73,1694.12,1694.12,405115000
2010-01-12,1695.83,1701.16,1683.29,1698.64,382863000
2010-01-13,1683.51,1687.58,1671.11,1671.41,360836000
2010-01-14,1680.68,1692.78,1677.46,1685.77,433117000
2010-01-15,1694.65,1704.43,1686.12,1701.8,414856000
2010-01-18,1696.14,1716.62,1688.89,1711.78,419934000
2010-01-19,1719.41,1723.22,1706.73,1710.22,383079000
2010-01-20,1723.01,1723.01,1708.58,1714.38,694874000
2010-01-21,1700.53,1722.01,1695.18,1722.01,542570000
2010-01-22,1696.21,1706.09,1665.6,1684.35,614237000
2010-01-25,1662.77,1681.83,1660.58,1670.2,584195000
2010-01-26,1670.47,1671.66,1626.98,1637.34,576331000
2010-01-27,1641.88,1643.64,1620.55,1625.48,446127000
2010-01-28,1632.58,1649.46,1619.26,1642.43,478791000
2010-01-29,1621.0,1626.57,1595.39,1602.43,473356000
2010-02-01,1603.87,1611.99,1590.8,1606.44,381732000
2010-02-02,1618.6,1618.6,1591.24,1595.81,434116000
2010-02-03,1614.16,1618.86,1602.55,1615.02,437339000
2010-02-04,1615.48,1619.37,1607.87,1616.42,396388000
2010-02-05,1567.59,1575.16,1560.99,1567.12,460102000
2010-02-08,1565.24,1566.3,1548.78,1552.79,444931000
2010-02-09,1550.8,1571.96,1549.11,1570.49,433305000
2010-02-10,1578.83,1581.56,1565.79,1570.12,435672000
2010-02-11,1574.95,1600.41,1574.77,1597.81,393057000
2010-02-12,1595.95,1598.41,1577.89,1593.66,291823000
2010-02-16,1589.97,1608.86,1586.87,1601.05,275008000
2010-02-17,1619.04,1628.31,1618.27,1627.43,383250000
2010-02-18,1630.89,1631.71,1618.81,1621.19,313664000
2010-02-19,1611.09,1623.25,1592.92,1593.9,345317000
2010-02-22,1617.16,1630.51,1617.16,1627.1,306731000
2010-02-23,1626.75,1630.45,1616.04,1628.9,351601000
2010-02-24,1616.55,1618.46,1606.24,1612.83,389972000
2010-02-25,1620.25,1621.84,1582.22,1587.51,402736000
2010-02-26,1593.73,1596.55,1580.7,1594.58,331106000
2010-03-02,1612.43,1620.15,1608.97,1615.12,414637000
2010-03-03,1615.25,1622.63,1611.35,1622.44,403092000
2010-03-04,1625.35,1631.1,1612.47,1618.2,382598000
2010-03-05,1624.8,1634.57,1624.74,1634.57,343852000
