stock_code,stock_name,stock_type,wics_code
000020,동화약품,KOSPI,352020
000030,우리은행,KOSPI,401010
000040,KR모터스,KOSPI,251020
000050,경방,KOSPI,252060
000060,메리츠화재,KOSPI,404010
000070,삼양홀딩스,KOSPI,302020
000075,삼양홀딩스우,KOSPI,
000080,하이트진로,KOSPI,302010
000087,하이트진로2우B,KOSPI,
000100,유한양행,KOSPI,352020
000105,유한양행우,KOSPI,
000120,CJ대한통운,KOSPI,203040
000140,하이트진로홀딩스,KOSPI,302010
000145,하이트진로홀딩스우,KOSPI,
000150,두산,KOSPI,201050
000155,두산우,KOSPI,
000157,두산2우B,KOSPI,
000180,성창기업지주,KOSPI,151060
000210,대림산업,KOSPI,201030
000215,대림산업우,KOSPI,
000220,유유제약,KOSPI,352020
000225,유유제약1우,KOSPI,
000227,유유제약2우B,KOSPI,
000230,일동홀딩스,KOSPI,352020
000240,한국타이어월드와이드,KOSPI,251010
000250,삼천당제약,KOSDAQ,
000270,기아차,KOSPI,251020
000300,대유플러스,KOSPI,251010
000320,노루홀딩스,KOSPI,201025
000325,노루홀딩스우,KOSPI,
000327,노루홀딩스2우B,KOSPI,
000370,한화손해보험,KOSPI,404010
000390,삼화페인트,KOSPI,201025
000400,롯데손해보험,KOSPI,404010
000430,대원강업,KOSPI,251010
000440,중앙에너비스,KOSDAQ,
000480,조선내화,KOSPI,151040
000490,대동공업,KOSPI,201060
000500,가온전선,KOSPI,201040
000520,삼일제약,KOSPI,352020
000540,흥국화재,KOSPI,404010
000545,흥국화재우,KOSPI,
000547,흥국화재2우B,KOSPI,
000590,CS홀딩스,KOSPI,151050
000640,동아쏘시오홀딩스,KOSPI,352020
000650,천일고속,KOSPI,203040
000660,SK하이닉스,KOSPI,453010
000670,영풍,KOSPI,151040
000680,LS네트웍스,KOSPI,252060
000700,유수홀딩스,KOSPI,203030
000720,현대건설,KOSPI,201030
000725,현대건설우,KOSPI,
000760,이화산업,KOSPI,151010
000810,삼성화재,KOSPI,404010
000815,삼성화재우,KOSPI,
000850,화천기공,KOSPI,201060
000860,강남제비스코,KOSPI,201025
000880,한화,KOSPI,151010
000885,한화우,KOSPI,
00088K,한화3우B,KOSPI,
000890,보해양조,KOSPI,302010
000910,유니온,KOSPI,201025
000950,전방,KOSPI,252060
000970,한국주철관,KOSPI,151050
000990,동부하이텍,KOSPI,453010
000995,동부하이텍1우,KOSPI,
001000,신라섬유,KOSDAQ,
001020,페이퍼코리아,KOSPI,151060
001040,CJ,KOSPI,302020
001045,CJ우,KOSPI,
001060,JW중외제약,KOSPI,352020
001065,JW중외제약우,KOSPI,
001067,JW중외제약2우B,KOSPI,
001070,대한방직,KOSPI,252060
001080,만호제강,KOSPI,151050
001120,LG상사,KOSPI,201070
001130,대한제분,KOSPI,302020
001140,국보,KOSPI,203040
001200,유진투자증권,KOSPI,402010
001210,금호전기,KOSPI,454020
001230,동국제강,KOSPI,151050
001250,GS글로벌,KOSPI,201070
001270,부국증권,KOSPI,402010
001275,부국증권우,KOSPI,
001290,골든브릿지증권,KOSPI,402010
001340,백광산업,KOSPI,151010
001360,삼성제약,KOSPI,352020
001380,SG충방,KOSPI,252060
001390,KG케미칼,KOSPI,151010
001420,태원물산,KOSPI,251010
001430,세아베스틸,KOSPI,151050
001450,현대해상,KOSPI,404010
001460,BYC,KOSPI,252060
001465,BYC우,KOSPI,
001470,삼부토건,KOSPI,201030
001500,현대차투자증권,KOSPI,402010
001510,SK증권,KOSPI,402010
001515,SK증권우,KOSPI,
001520,동양,KOSPI,201025
001525,동양우,KOSPI,
001527,동양2우B,KOSPI,
001529,동양3우B,KOSPI,
001530,동일방직,KOSPI,252060
001540,안국약품,KOSDAQ,
001550,조비,KOSPI,151010
001560,제일연마,KOSPI,151040
001570,금양,KOSPI,151010
001620,동국실업,KOSPI,251010
001630,종근당홀딩스,KOSPI,352020
001680,대상,KOSPI,302020
001685,대상우,KOSPI,
001689,대상3우B,KOSPI,
001720,신영증권,KOSPI,402010
001725,신영증권우,KOSPI,
001740,SK네트웍스,KOSPI,201070
001745,SK네트웍스우,KOSPI,
001750,한양증권,KOSPI,402010
001755,한양증권우,KOSPI,
001770,신화실업,KOSPI,151050
001780,알루코,KOSPI,151040
001790,대한제당,KOSPI,302020
001795,대한제당우,KOSPI,
001799,대한제당3우B,KOSPI,
001800,오리온홀딩스,KOSPI,302020
001810,무림SP,KOSDAQ,
001820,삼화콘덴서,KOSPI,453520
001840,이화공영,KOSDAQ,
001880,삼호,KOSPI,201030
001940,KISCO홀딩스,KOSPI,151050
002000,한국유리,KOSPI,201020
002005,한국유리우,KOSPI,
002020,코오롱,KOSPI,151010
002025,코오롱우,KOSPI,
002030,아세아,KOSPI,151030
002070,남영비비안,KOSPI,252060
002100,경농,KOSPI,151010
002140,고려산업,KOSPI,302020
002150,도화엔지니어링,KOSPI,201030
002170,삼양통상,KOSPI,252060
002200,수출포장,KOSPI,151030
002210,동성제약,KOSPI,352020
002220,한일철강,KOSPI,151050
002230,피에스텍,KOSDAQ,
002240,고려제강,KOSPI,151050
002250,알보젠코리아,KOSPI,352020
002270,롯데푸드,KOSPI,302020
002290,삼일기업공사,KOSDAQ,
002300,한국제지,KOSPI,151060
002310,아세아제지,KOSPI,151030
002320,한진,KOSPI,203040
002350,넥센타이어,KOSPI,251010
002355,넥센타이어1우B,KOSPI,
002360,SH에너지화학,KOSPI,151010
002380,KCC,KOSPI,201025
002390,한독,KOSPI,352020
002420,세기상사,KOSPI,254020
002450,삼익악기,KOSPI,252050
002460,화성산업,KOSPI,201030
002550,KB손해보험,KOSPI,
002600,조흥,KOSPI,302020
002620,제일파마홀딩스,KOSPI,352020
002630,오리엔트바이오,KOSPI,352010
002680,한탑,KOSDAQ,
002690,동일제강,KOSPI,
002700,신일산업,KOSPI,252040
002710,TCC동양,KOSPI,151050
002720,국제약품,KOSPI,352020
002760,보락,KOSPI,302020
002780,진흥기업,KOSPI,201030
002785,진흥기업우B,KOSPI,
002787,진흥기업2우B,KOSPI,
002790,아모레G,KOSPI,252065
002795,아모레G우,KOSPI,
002810,삼영무역,KOSPI,151010
002820,선창산업,KOSPI,151060
002840,미원상사,KOSPI,151010
