stock_code,basic_date,open_value,high_value,low_value,close_value,yesterday_ratio,updown_ratio,volume_value
139130,06/07/2011,15233,16390,15041,16294,1061,6.97,2178364
139130,06/08/2011,16293,16583,15233,15522,-771,-4.73,1451396
139130,06/09/2011,15571,15956,14173,14751,-771,-4.97,3499836
139130,06/10/2011,14654,15908,14606,15522,771,5.23,2137913
139130,06/13/2011,15185,15571,14896,15185,-337,-2.17,737489
139130,06/14/2011,15281,15618,15184,15329,145,0.95,607532
139130,06/15/2011,15522,15570,15233,15281,-48,-0.31,252560
139130,06/16/2011,15377,15570,15088,15570,289,1.89,213631
139130,06/17/2011,15522,15859,15088,15088,-482,-3.1,587906
139130,06/20/2011,15185,15330,15089,15185,96,0.64,284357
139130,06/21/2011,15282,15426,15185,15378,193,1.27,323490
139130,06/22/2011,15522,15570,14847,14847,-530,-3.45,563254
139130,06/23/2011,14848,15233,14848,15137,289,1.95,455219
139130,06/24/2011,15041,15378,14944,15378,241,1.59,338388
139130,06/27/2011,15185,15281,15088,15233,-145,-0.94,213870
139130,06/28/2011,15378,15378,15137,15137,-96,-0.63,416024
139130,06/29/2011,15329,15618,15233,15522,386,2.55,380459
139130,06/30/2011,15667,15667,15378,15619,96,0.62,399483
139130,07/01/2011,15715,15715,15329,15570,-48,-0.31,363751
139130,07/04/2011,15715,15908,15619,15860,289,1.86,390427
139130,07/05/2011,15908,16053,15860,15860,0,0,204866
139130,07/06/2011,15860,15956,15763,15908,48,0.3,161595
139130,07/07/2011,15812,16101,15764,16101,193,1.21,299584
139130,07/08/2011,16149,16149,15908,16101,0,0,170999
139130,07/11/2011,16101,16101,15571,16101,0,0,192888
139130,07/12/2011,15715,16101,15619,15715,-386,-2.4,106810
139130,07/13/2011,15666,15811,15474,15570,-145,-0.92,268925
139130,07/14/2011,15522,15570,15233,15329,-241,-1.55,281232
139130,07/15/2011,15330,15426,15233,15426,96,0.63,328675
139130,07/18/2011,15426,15474,15378,15474,48,0.31,228164
139130,07/19/2011,15281,15570,15281,15474,0,0,732250
139130,07/20/2011,15667,15763,15426,15763,289,1.87,812616
139130,07/21/2011,15763,16004,15715,15956,193,1.22,418965
139130,07/22/2011,16101,16342,16052,16197,241,1.51,639652
139130,07/25/2011,16197,16245,16004,16197,0,0,135454
139130,07/26/2011,16101,16294,15908,16101,-96,-0.59,349886
139130,07/27/2011,16101,16149,15860,15908,-193,-1.2,229434
139130,07/28/2011,15715,16052,15667,16004,96,0.6,137945
139130,07/29/2011,15956,16101,15619,16101,96,0.6,276655
139130,08/01/2011,15956,16197,15908,16197,96,0.6,136599
139130,08/02/2011,16197,16293,16004,16245,48,0.3,207841
139130,08/03/2011,15908,16294,15716,16294,48,0.3,357035
139130,08/04/2011,16293,16293,15763,16004,-289,-1.77,200162
139130,08/05/2011,15426,15715,15281,15715,-289,-1.81,307171
139130,08/08/2011,15329,15522,14365,15233,-482,-3.07,214807
139130,08/09/2011,14462,14703,13594,13594,-1639,-10.76,308004
139130,08/10/2011,14558,15233,14462,15233,1639,12.06,589348
139130,08/11/2011,14654,14847,14558,14558,-675,-4.43,291388
139130,08/12/2011,14751,14800,13980,13980,-578,-3.97,363067
139130,08/16/2011,14607,14944,14462,14703,723,5.17,235268
139130,08/17/2011,14702,14895,14606,14654,-48,-0.33,93988
139130,08/18/2011,14751,15281,14606,15281,627,4.28,159154
139130,08/19/2011,14702,14943,14606,14654,-627,-4.1,164816
139130,08/22/2011,13883,14365,13401,13883,-771,-5.26,944739
139130,08/23/2011,13979,14172,13883,13931,48,0.35,233799
139130,08/24/2011,13883,13980,12823,13305,-627,-4.5,256314
139130,08/25/2011,13594,13787,13498,13498,193,1.45,410849
139130,08/26/2011,13594,13980,13401,13787,289,2.14,340127
139130,08/29/2011,14173,14221,13594,14221,434,3.15,214693
139130,08/30/2011,14413,14847,14365,14413,193,1.36,481883
139130,08/31/2011,14414,14944,14269,14944,530,3.68,231729
139130,09/01/2011,15137,15812,14703,15619,675,4.52,604857
139130,09/02/2011,15377,16004,15377,15811,193,1.24,216116
139130,09/05/2011,15233,15812,14896,14896,-916,-5.79,175852
139130,09/06/2011,14654,14799,14028,14076,-819,-5.5,351692
139130,09/07/2011,14317,14461,14124,14172,96,0.68,130870
139130,09/08/2011,14510,14799,14317,14365,193,1.36,270863
139130,09/09/2011,14365,14895,14317,14413,48,0.33,157568
139130,09/14/2011,14655,14848,13305,13305,-1109,-7.69,448854
139130,09/15/2011,13691,13980,12775,12871,-434,-3.26,259982
139130,09/16/2011,13112,14028,13112,13739,868,6.74,205800
139130,09/19/2011,13498,13835,13498,13594,-145,-1.06,394130
139130,09/20/2011,13401,13787,13353,13642,48,0.35,86131
139130,09/21/2011,13594,14558,13594,14172,530,3.89,446003
139130,09/22/2011,13980,14028,13546,13546,-627,-4.42,121748
139130,09/23/2011,12968,13209,12823,12823,-723,-5.34,319969
139130,09/26/2011,12871,13305,12003,12148,-675,-5.26,200899
139130,09/27/2011,12196,12968,12148,12582,434,3.57,471267
139130,09/28/2011,13015,13305,12533,13160,578,4.59,2637531
139130,09/29/2011,12871,13498,12727,13498,337,2.56,559593
139130,09/30/2011,13401,13497,13112,13449,-48,-0.36,216128
139130,10/04/2011,12533,12823,12244,12437,-1012,-7.52,477630
139130,10/05/2011,12533,12533,12196,12196,-241,-1.94,331483
139130,10/06/2011,12485,12919,12485,12726,530,4.35,633539
139130,10/07/2011,13112,13353,12967,12967,241,1.89,204631
139130,10/10/2011,13064,13160,12871,13160,193,1.49,113022
139130,10/11/2011,13594,13642,12726,12726,-434,-3.3,297619
139130,10/12/2011,12774,12823,12582,12678,-48,-0.38,232536
139130,10/13/2011,12871,13015,12774,12919,241,1.9,264462
139130,10/14/2011,12870,12919,12581,12774,-145,-1.12,286443
