main_code,wics_code,name
1,10,에너지
1,15,소재
1,20,산업재
1,25,경기관련소비재
1,30,필수소비재
1,35,건강관리
1,40,금융
1,45,IT
1,50,전기통신서비스
1,55,유틸리티
2,1010,에너지
2,1510,소재
2,2010,자본재
2,2020,상업서비스와공급품
2,2030,운송
2,2510,자동차와부품
2,2520,내구소비재와의류
2,2530,"호텔,레스토랑,레저 등"
2,2540,미디어
2,2550,소매(유통)
2,2560,교육서비스
2,3010,식품과기본식료품소매
2,3020,"식품,음료,담배"
2,3030,가정용품과개인용품
2,3510,건강관리장비와서비스
2,3520,제약과생물공학
2,4010,은행
2,4020,증권
2,4030,다각화된금융
2,4040,보험
2,4050,부동산
2,4055,기타금융서비스
2,4510,소프트웨어와서비스
2,4520,기술하드웨어와장비
2,4530,반도체와반도체장비
2,4535,전자와 전기제품
2,4540,디스플레이
2,5010,통신서비스
2,5510,유틸리티
3,101010,에너지장비및서비스
3,101020,석유와가스
3,151010,화학
3,151030,포장재
3,151040,비철금속
3,151050,철강
3,151060,종이와목재
3,201010,우주항공과국방
3,201020,건축제품
3,201025,건축자재
3,201030,건설
3,201035,가구
3,201040,전기장비
3,201050,복합기업
3,201060,기계
3,201065,조선
3,201070,무역회사와판매업체
3,202010,상업서비스와공급품
3,203010,항공화물운송과물류
3,203020,항공사
3,203030,해운사
3,203040,도로와철도운송
3,203050,운송인프라
3,251010,자동차부품
3,251020,자동차
3,252040,가정용기기와용품
3,252050,레저용장비와제품
3,252060,"섬유,의류,신발,호화품"
3,252065,화장품
3,252070,문구류
3,253010,"호텔,레스토랑,레저"
3,253020,다각화된소비자서비스
3,254010,광고
3,254020,방송과엔터테인먼트
3,254030,출판
3,255010,판매업체
3,255020,인터넷과카탈로그소매
3,255030,백화점과일반상점
3,255040,전문소매
3,256010,교육서비스
3,301010,식품과기본식료품소매
3,302010,음료
3,302020,식품
3,302030,담배
3,303010,가정용품
3,351010,건강관리장비와용품
3,351020,건강관리업체및서비스
3,351030,건강관리기술
3,352010,생물공학
3,352020,제약
3,352030,생명과학도구및서비스
3,401010,은행
3,402010,증권
3,403020,창업투자
3,403030,카드
3,403040,기타금융
3,404010,손해보험
3,404020,생명보험
3,405020,부동산
3,405510,신용평가서비스
3,405520,결제관련서비스
3,451010,인터넷소프트웨어와서비스
3,451020,IT서비스
3,451030,소프트웨어
3,451035,게임소프트웨어와서비스
3,452010,통신장비
3,452015,핸드셋
3,452020,컴퓨터와주변기기
3,452030,전자장비와기기
3,452040,사무용전자제품
3,453010,반도체와반도체장비
3,453510,전자제품
3,453520,전기제품
3,454010,디스플레이 패널
3,454020,디스플레이 장비 및 부품
3,501010,다각화된통신서비스
3,501020,무선통신서비스
3,551010,전기유틸리티
3,551020,가스유틸리티
3,551030,복합유틸리티
3,551040,수도유틸리티
3,551050,독립전력생산및에너지거래
T,1,대분류
T,2,중분류
T,3,소분류
